date,count
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-18,411576
2020-05-17,487891
2020-05-18,0
2020-05-20,304348
2020-05-18,98917
2020-05-19,895844
2020-05-20,497000
2020-05-21,202858
2020-05-22,1132741
2020-05-21,765704
2020-05-23,1780937
2020-05-22,1322515
2020-05-25,713026
2020-05-24,1382342
2020-05-23,0
2020-05-23,23179
2020-05-24,76815
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,731675
2020-06-04,268122
2020-06-05,363076
2020-06-04,636704
2020-06-08,61169
2020-06-07,162492
2020-06-06,736355
2020-06-05,1039567
2020-06-08,851541
2020-06-09,49072
2020-06-07,1154816
2020-06-06,543342
2020-06-08,159216
2020-06-07,140597
2020-06-08,160915
2020-06-09,39043
2020-06-09,547927
2020-06-10,151936
2020-06-11,247879
2020-06-10,751945
2020-06-12,539722
2020-06-11,660042
2020-06-12,358606
2020-06-13,241286
2020-06-16,616397
2020-06-17,211562
2020-06-13,537941
2020-06-15,608292
2020-06-14,724370
2020-06-14,99984
2020-06-16,185303
2020-06-17,21771
2020-06-15,192508
2020-06-16,194379
2020-06-17,5434
2020-06-17,620301
2020-06-18,478930
2020-06-24,123185
2020-06-20,1077474
2020-06-22,1062155
2020-06-23,928247
2020-06-21,1191406
2020-06-19,1033694
2020-06-18,481698
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,888440
2020-06-25,709670
2020-06-26,624986
2020-06-25,674786
2020-06-28,967490
2020-06-27,1162386
2020-06-26,642789
2020-06-30,158692
2020-06-29,767590
2020-06-27,0
2020-06-28,158323
2020-06-29,41652
2020-06-30,27057
2020-06-29,172851
2020-07-01,630329
2020-06-30,869080
2020-07-01,623748
2020-07-02,176094
2020-07-03,969478
2020-07-04,900555
2020-07-02,729544
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-17,1164838
2020-07-24,211969
2020-07-22,1533385
2020-07-23,1427365
2020-07-16,860952
2020-07-19,1160411
2020-07-18,1001479
2020-07-21,1256346
2020-07-20,1417045
2020-07-15,662391
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-25,1017081
2020-07-26,1385107
2020-07-24,765036
2020-07-27,231773
2020-07-25,0
2020-07-26,0
2020-07-28,331866
2020-07-27,867531
2020-07-28,678461
2020-07-30,2137
2020-07-29,918261
2020-07-29,0
2020-08-05,368059
2020-08-04,1154924
2020-07-31,1023084
2020-07-30,1064859
2020-08-02,1201017
2020-08-01,968903
2020-08-03,1215931
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-06,2074611
2020-08-05,923312
2020-08-09,1363561
2020-08-10,254736
2020-08-08,1689842
2020-08-07,1991824
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,854745
2020-08-12,993748
2020-08-11,2949463
2020-08-11,0
2020-08-13,769410
2020-08-14,126851
2020-08-12,1903083
2020-08-13,1541244
2020-08-14,813991
2020-08-15,43688
2020-08-14,510582
2020-08-15,589407
2020-08-17,733271
2020-08-16,2387040
2020-08-15,1379173
2020-08-16,0
2020-08-17,1199998
2020-08-17,1440630
2020-08-18,3259309
2020-08-19,3624775
2020-08-20,2224759
2020-08-18,649762
2020-08-20,1740096
2020-08-21,259890
2020-08-23,1506498
2020-08-22,2181168
2020-08-21,3712182
2020-08-22,0
2020-08-23,0
2020-08-25,150706
2020-08-23,160040
2020-08-24,2589245
2020-08-25,2551559
2020-08-26,348249
2020-08-29,863286
2020-08-26,2283734
2020-08-28,1930351
2020-08-27,3973474
2020-08-30,43156
2020-08-27,0
2020-08-29,1249844
2020-08-28,1774507
2020-08-30,75632
2020-08-29,0
2020-08-30,1737362
2020-08-31,662632
2020-09-01,698641
2020-08-31,2801340
2020-09-01,499993
2020-09-01,227812
2020-09-02,2363076
2020-09-03,9079
2020-09-06,2391757
2020-09-03,2367556
2020-09-05,2235864
2020-09-09,1096884
2020-09-04,2709193
2020-09-07,2385206
2020-09-08,2312724
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-09,230292
2020-09-08,169691
2020-09-09,790694
2020-09-10,309260
2020-09-12,266309
2020-09-11,595776
2020-09-14,197697
2020-09-13,306924
2020-09-15,38843
2020-09-10,1793527
2020-09-12,654001
2020-09-11,774636
2020-09-14,544274
2020-09-13,494705
2020-09-15,132212
2020-09-12,924686
2020-09-13,475308
2020-09-14,343711
2020-09-13,1156284
2020-09-14,1480544
2020-09-15,718706
2020-09-15,999990
2020-09-16,2429159
2020-09-15,315424
2020-09-18,1398378
2020-09-17,2555397
2020-09-18,89768
2020-09-17,110230
2020-09-20,1945147
2020-09-21,1726253
2020-09-19,1793537
2020-09-22,726501
